key,year,num_outgoing_links,num_incoming_links
Rexx,1979.0,2.0,4.0
Ring,2016.0,,9.0
Ruby,1995.0,18.0,13.0
Rust,2010.0,9.0,17.0
S,1976.0,1.0,5.0
S3,,,1.0
SAC,1994.0,,3.0
SASL,1972.0,3.0,1.0
SB-Prolog,,1.0,
SETL,1969.0,4.0,1.0
SETL2,1969.0,4.0,4.0
SETLX,,,3.0
SISAL,1983.0,3.0,4.0
SNOBOL,1962.0,6.0,1.0
SP/k,,3.0,
SPARK,,,3.0
SPARQL,2008.0,,1.0
SQL,1974.0,8.0,1.0
SQL/PSM,,,1.0
SYMPL,,,1.0
Sather,1990.0,1.0,4.0
Scala,2004.0,11.0,14.0
Scheme,1975.0,33.0,5.0
Schoonschip,,1.0,
Scilab,,,1.0
Scratch,2003.0,5.0,8.0
ScratchJr,,,1.0
Sed,1974.0,2.0,1.0
Seed7,2005.0,,7.0
Self,1987.0,13.0,2.0
Semi-Automatic Ground Environment,,1.0,
SenseTalk,1992.0,,2.0
Simple theory of types,,1.0,
Simscript,,3.0,
Simula,1962.0,10.0,4.0
Simula 67,1962.0,2.0,2.0
Simula67,1962.0,2.0,2.0
Sketchpad,,2.0,
SmallBasic,,,2.0
Smalltalk,1972.0,38.0,10.0
Snap!,2011.0,1.0,4.0
Speakeasy (computational environment),1964.0,1.0,1.0
Speedcoding,1953.0,10.0,2.0
Squeak,1996.0,3.0,6.0
Squirrel,2003.0,,5.0
Stackless Python,,,1.0
Standard ML,1983.0,9.0,3.0
StarLogo,2001.0,3.0,1.0
Steelman language requirements,,,1.0
Strand,,,1.0
Strongtalk,2002.0,3.0,2.0
Structured text,,,1.0
SubL,,,1.0
SuperCollider,,,1.0
SuperTalk,,,1.0
Superplan,1951.0,1.0,1.0
Swift,2014.0,1.0,12.0
Symbolic Manipulation Program,,1.0,
SystemVerilog,2002.0,,5.0
T,1982.0,3.0,1.0
TELCOMP,1965.0,1.0,1.0
TMG (language),1963.0,3.0,4.0
TOM (object-oriented),,,2.0
Tcl,1988.0,4.0,2.0
Tea,1997.0,,3.0
Tk (software),,2.0,
Trith,,,1.0
Turing,1982.0,1.0,4.0
Turing Plus,1982.0,1.0,4.0
Turtlestitch,2015.0,,4.0
Tymshare SUPER BASIC,1968.0,1.0,3.0
TypeScript,2012.0,3.0,4.0
UCSD Pascal,,1.0,
Unix shell,,1.0,
VAX,,,1.0
VHDL,1980.0,1.0,2.0
Vala,2006.0,,7.0
Verilog,1984.0,1.0,4.0
Vilnius BASIC,1986.0,,1.0
Visual Basic,,3.0,
Visual Basic (classic),1991.0,7.0,1.0
Visual Basic .NET,2001.0,1.0,4.0
Visual J++,,2.0,
Visual Prolog,,,1.0
Vue.js,,,1.0
WebAssembly,2017.0,1.0,2.0
Whiley,2010.0,1.0,4.0
Wikipedia:Citation needed,,3.0,4.0
Windows Forms,,,2.0
Windows PowerShell,2006.0,,11.0
Wolfram Language,1988.0,3.0,11.0
Wolfram Mathematica,,1.0,
XAML,,1.0,
XBase,,1.0,
XSB,,,3.0
XTalk,,1.0,
Xojo,,,2.0
YAML,,1.0,
Yacc,,,1.0
Z notation,,1.0,
ZIL (Zork Implementation Language),,,1.0
ZPL,1993.0,1.0,1.0
Zig,2016.0,,6.0
Zonnon,2013.0,,4.0
tp://erights.org/history/original-e/index.html,,1.0,
tps://foldoc.org/Lean,,1.0,
tps://github.com/proebsting/goaldi,,,1.0
tps://shakti.com/,,,1.0
Ωmega,,,1.0
